team,conf,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,Rec Rank,ast/tov,rimmade,rimmade+rimmiss,midmade,midmade+midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+midmiss),dunksmade,dunksmiss+dunksmade,dunksmade/(dunksmade+dunksmiss),drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,role,3p/100?,dob,label
Detroit Mercy,Horz,6,1.0,0.0,16.8,0.0,0.0,0.0,11.4,0.0,32.9,0,0,0.0,0,2,0.0,0,1,0.0,0.0,5.5,0.0,So,6-7,,-0.596255,-0.350153,13.3,2008,1,,,0.0,,,,,,,,,,100.724,98.5024,0.196087,2.50101,-16.0308,-14.6352,-1.39557,-25.2281,2.0,-23.7287,-1.49938,0.1429,0.1429,0.2857,0.0,0.2857,0.0,0.0,,5.70546,1987-10-15,0
South Alabama,SB,22,8.4,62.0,14.1,32.6,33.4,0.0,5.4,6.6,32.1,1,2,0.5,3,12,0.25,3,11,0.273,0.0,1.1,8.7,Fr,6-2,,-0.502715,55.211,6.1,2008,2,"Panama City, FL",,0.62496249,,,,,,,,,,103.96,104.687,0.365511,15.0379,-8.20704,-6.19611,-2.01093,-10.8251,5.125,-8.91292,-1.91216,0.0,0.3333,0.3333,0.2083,0.0833,0.0,0.75,,6.20657,1989-05-19,0
Utah St.,WAC,28,24.3,93.1,13.8,45.2,46.2,1.4,6.6,14.3,22.9,7,13,0.538,16,39,0.41,8,23,0.348,0.6,1.7,21.0,Fr,6-4,,-0.0819317,83.5683,3.3,2008,3,,,1.44990574,,,,,,,,,,108.419,110.366,0.672348,48.4848,-3.0832,-0.977192,-2.10601,-2.61135,12.1379,-1.89802,-0.713339,0.1379,0.6897,0.8276,1.0,0.3793,0.069,2.4483,,4.26818,1988-07-01,0
Arizona,P10,6,1.0,15.8,18.4,0.0,0.0,9.7,0.0,0.0,47.7,0,1,0.0,0,1,0.0,0,1,0.0,7.1,0.0,50.0,Jr,6-9,,-0.567183,15.5142,14.3,2008,4,"Durham, NC",88.6,0.0,,,,,,,,,,107.664,108.413,0.148523,1.81359,-12.2284,-12.8146,0.58623,-20.1364,2.3333,-18.3114,-1.82501,0.1667,0.0,0.1667,0.0,0.0,0.1667,0.0,,4.60267,1986-10-15,0
South Florida,BE,30,71.1,105.8,19.0,50.6,54.16,2.3,8.4,18.8,18.9,53,66,0.803,71,148,0.48,42,117,0.359,0.2,1.2,24.9,Jr,6-4,,2.30042,108.132,2.1,2008,5,,,1.46294452,,,,,,,,,,107.044,103.363,2.38475,127.005,1.1455,2.03723,-0.891732,1.69271,29.5,2.17089,-0.478177,0.6,2.2333,2.8333,2.6333,0.5667,0.0667,10.7,,7.81267,1986-10-15,0
Arizona,P10,29,29.3,106.8,10.0,44.2,50.87,2.8,7.0,15.6,22.0,13,15,0.867,4,17,0.235,10,26,0.385,0.3,1.4,34.9,Sr,6-3,,0.519488,96.8129,4.3,2008,6,"London, KY",54.2,2.71416341,,,,,,,,,,106.34,99.359,1.26546,54.5354,2.04889,1.58234,0.466547,-0.00763667,14.3667,-1.24655,1.23891,0.2667,0.8,1.0667,1.2667,0.4,0.0333,2.0333,,4.08428,1985-10-15,0
Arizona,P10,33,87.0,101.4,15.1,49.5,53.91,2.7,9.7,14.2,21.4,59,78,0.756,60,136,0.441,32,82,0.39,1.8,1.1,35.8,Sr,6-4,,1.77241,100.236,2.3,2008,7,"Houston, TX",97.0,1.48390452,,,,,,,,,,105.237,97.7491,3.50454,171.696,4.15976,2.05622,2.10354,2.73427,35.0882,1.41793,1.31634,0.6765,2.9706,3.6471,2.7059,0.6471,0.6471,8.3824,,4.33815,1985-10-15,0
Pepperdine,WCC,31,57.5,91.6,13.2,44.3,46.05,4.1,10.7,9.0,21.0,15,21,0.714,35,75,0.467,26,92,0.283,0.4,2.5,12.6,Jr,6-4,,-0.2149,82.8744,2.7,2008,8,,,1.02635785,,,,,,,,,,107.061,107.318,1.55223,129.639,-1.93638,-1.16483,-0.771548,-2.32884,23.2188,-1.71431,-0.614529,0.9688,2.25,3.2188,1.2188,1.0625,0.0938,5.4688,,6.73908,1986-10-15,0
Pacific,BW,30,65.0,105.1,22.0,54.9,60.2,8.5,25.2,5.6,21.9,116,169,0.686,99,182,0.544,1,1,1.0,1.2,1.3,92.3,Jr,6-8,,1.78796,105.396,3.3,2008,9,,,0.38094771,,,,,,,,,,98.4147,100.786,2.34157,155.975,-1.95324,-1.44262,-0.510618,-0.174815,26.2581,0.328653,-0.503468,1.6129,5.5484,7.1613,0.7742,0.5806,0.2581,10.7419,,0.0766154,1986-10-15,1
Ball St.,MAC,29,85.5,107.5,23.0,53.4,56.71,6.7,15.2,17.0,17.7,81,114,0.711,96,190,0.505,41,105,0.39,0.6,2.2,38.6,Sr,6-1,,3.35969,112.811,2.5,2008,10,,,1.015881,,,,,,,,,,102.821,101.959,3.05785,174.493,4.16409,3.0889,1.07519,4.29667,35.6897,3.81818,0.478493,1.9655,3.8966,5.8621,2.2069,1.2414,0.1724,13.6552,,6.75628,1985-10-15,0
Butler,Horz,4,0.4,0.0,18.5,0.0,0.0,0.0,22.0,0.0,59.5,0,0,0.0,0,0,0.0,0,1,0.0,0.0,11.0,0.0,So,6-1,,-0.445969,-0.115263,0.0,2008,11,,,0.0,,,,,,,,,,73.9155,74.794,0.270467,1.91708,-7.43631,-14.1187,6.68243,-8.93385,1.5,-16.0951,7.16129,0.0,0.25,0.25,0.0,0.25,0.0,0.0,,12.0291,1987-10-15,0
Mississippi St.,SEC,34,85.7,100.6,29.6,48.0,52.19,4.0,14.8,29.7,22.7,138,199,0.693,133,277,0.48,60,188,0.319,1.8,1.9,42.8,Jr,6-4,,3.50773,115.064,3.0,2008,12,"Nashville, TN",96.0,1.21740404,,,,,,,,,,93.6406,89.0154,4.48799,236.529,4.91212,2.93562,1.9765,4.9141,34.6471,3.31415,1.59995,1.1765,5.4118,6.5882,4.9412,1.1176,0.6176,17.1765,,9.13445,1986-10-15,0
Longwood,ind,11,22.3,80.8,22.6,40.2,43.1,8.3,7.1,9.0,24.9,14,22,0.636,23,60,0.383,8,27,0.296,2.2,1.8,25.3,Jr,6-5,,-0.320856,81.5133,4.8,2008,13,,,0.37035555,,,,,,,,,,111.963,112.789,1.10594,40.1233,-7.82212,-4.06888,-3.75324,-7.84823,23.8333,-4.22132,-3.62691,2.0833,1.5,3.5833,0.8333,0.9167,0.4167,8.6667,,6.09005,1986-10-15,0
